review_id,source,category,stars,sentiment_label,review_text,review_date
a3b7f4e8-c1ec-4a58-ba64-a29bfc198f98,Amazon,Apparel,3,0,"In summary, I works fine. The build was fine. The install was fine..",2024-11-23
3e0769f1-5364-49b2-9356-ff4a34188a5d,Amazon,Automotive,3,1,"Overall, I met expectations.!",2023-04-06
c5f725ed-8edc-4a69-8f61-38a38ad7e973,Yelp,Beauty,3,1,"From my experience, I as expected.!",2024-07-28
4af18aa0-c371-4660-80ee-84a6f3e8e6b4,Etsy,Beauty,1,0,"After using it for a week, I unhappy with the purchase.?",2023-08-14
48fd3682-0d7e-4ed9-9af3-5d934add0b65,Walmart,Grocery,4,1,"After a month of use, I top-notch quality. The price was great..",2024-12-15
573145ee-d7ba-4d48-a2d9-bb4f536c5c77,BestBuy,Toys & Games,3,0,"In summary, I works fine. The build was fine..",2023-04-15
ff641cba-9daf-4ee6-9427-ea487276abf6,Target,Apparel,3,1,"Honestly, I okay for the price..",2024-09-10
3e3b25ac-b16f-43d6-a722-e8d24af35731,Newegg,Sports & Outdoors,3,0,"To be fair, I does what it says. The worth was fine..",2025-08-02
7e72a72e-b116-46af-badb-1f1f8fee9ec6,Amazon,Toys & Games,3,1,"From my experience, I as expected. The easy was fine. The responsive was fine..",2024-08-14
81b85e6c-2145-4e29-99f2-2992a9811b70,Etsy,Beauty,3,0,"After using it for a week, I okay for the price. The delivery was fine..",2025-03-02
ba1bf24c-4437-4120-bf29-7b41bf6c6132,Amazon,Sports & Outdoors,3,1,"To be fair, I nothing special. The delivery was fine.!!",2024-04-09
f7402293-28d6-42f2-a342-fff32bd2c8ed,Yelp,Books,3,0,"In summary, I acceptable. The easy was fine.!!",2024-12-19
0d90d6ef-78a6-4f32-99e7-dc7c800b70c7,Walmart,Apparel,3,1,"After using it for a week, I average quality. The courier was fine..",2023-06-17
6b75b4d2-9462-4f9e-b121-a1e25966a50d,Target,Grocery,3,0,"After using it for a week, I works fine. The defect was fine..",2024-12-02
0724d916-af4d-4038-9ce0-1dc2e66e10eb,Newegg,Books,3,0,"After a month of use, I does what it says. The build was fine. The price was fine..",2024-02-15
c5b3061e-abf0-43f5-9a18-ff0d47646034,Amazon,Sports & Outdoors,3,0,"After using it for a week, I nothing special. The rude was fine..",2023-08-06
90528dd3-1db2-4f85-8004-537c041e6717,Target,Grocery,3,1,"In summary, I decent overall. The shipping was fine. The easy was fine..",2025-02-01
a18a36b4-d100-4f34-ae63-a95741a92503,Walmart,Automotive,3,0,"From my experience, I works fine. The responsive was fine.?",2025-07-08
54f4073e-d9ec-41fa-a3fd-c17e7bbaf9da,Target,Pet Supplies,3,0,"In summary, I acceptable..",2024-06-05
9a8686f8-adaf-494a-aaf5-617f95522941,Amazon,Grocery,3,1,"In summary, I does what it says. The setup was fine..",2025-03-22
49c10580-bd10-4e76-b2ac-10e68b493773,Walmart,Toys & Games,3,1,"To be fair, I okay for the price. The late was fine..",2024-06-25
e7f10f59-d498-4e7a-8822-9c048f8b333f,Walmart,Sports & Outdoors,3,1,"After using it for a week, I does what it says. The defect was fine..",2024-11-29
cf5fde8d-c007-4434-9a65-406424cf2242,Newegg,Automotive,3,0,"Honestly, I works fine. The worth was fine..",2023-10-28
01e6f16d-b3f2-4253-8a88-0c9ac1b4948e,Yelp,Toys & Games,5,1,"Overall, I five stars.!!",2024-05-27
37980753-1724-4b91-8e7d-3fdd5e1f23fe,Walmart,Home & Kitchen,3,1,"After a month of use, I okay for the price. The defect was fine. The arrived was fine..",2023-06-06
29a1b78b-f140-4144-9637-54ece41c4887,Newegg,Books,1,0,"After a month of use, I poor quality. The value was bad.!",2024-09-05
3cc4520b-c5a4-41c4-8911-0023c46e7b80,Target,Books,3,1,"Honestly, I does what it says. The setup was fine.!!",2023-09-03
c56d6da4-6a3c-4247-b806-d85a0294c235,Yelp,Electronics,4,1,"Overall, I packed well. The courier was great..",2025-01-19
a21a6586-acc5-4877-826c-4a0ca95b8316,Newegg,Grocery,5,1,"After a month of use, I works perfectly. The premium was great..",2023-05-12
7a7caf5b-7baa-4455-b95f-34e6225f7f1f,Walmart,Grocery,4,1,"After a month of use, I highly recommend. The easy was great. The value was great.?",2023-08-05
4d2f94ad-a047-4c57-a730-253b35843b09,Newegg,Automotive,3,1,"Honestly, I nothing special. The worth was fine.?",2024-11-18
0e711b9a-fa07-4832-82f2-6144d7c449f8,Target,Books,5,1,"To be fair, I packed well. The premium was great..",2023-09-11
9fac4ebd-49ee-43de-b039-6d103317bf7a,Amazon,Beauty,3,1,"From my experience, I acceptable. The quality was fine..",2024-08-25
